,Subject ID,GRE APT Verb Percentile,GRE APT Quant Percentile,GRE APT Analyt Percentile,tiers,admit_code,GPA_Merged,Master's Held,Doctorate Held,Bachelor's Held,Special Degree Held,Count: Arts,Count: GAE,Count: Research,Count: Service,Count: Leadership,Count: Leadership,Count: Competition,Gender,First Generation,work_experience_int
77,1300,97,83,49,2.0,R,3.9,0,0,0,0,0,2,1,0,0,0,0,Female,0.0,0.0
78,1301,83,71,11,2.0,D,3.0,0,0,0,0,0,0,0,0,0,0,2,Male,0.0,0.0
79,1302,91,74,96,1.0,R,3.86,0,0,0,0,1,1,0,0,0,0,0,Female,0.0,0.0
80,1304,93,74,49,1.0,R,3.63,0,0,0,0,0,1,0,0,0,0,0,Female,0.0,0.0
81,1305,80,43,73,1.0,A,3.41,0,0,1,0,0,0,0,0,0,0,0,Male,1.0,2281.0
82,1306,96,90,96,1.0,R,3.9,0,0,0,0,0,1,0,0,0,0,0,Female,0.0,0.0
83,1307,40,35,30,4.0,A,3.39,0,0,1,0,0,1,0,0,0,0,0,Female,0.0,1581.0
84,1308,36,83,30,2.0,R,3.72,0,0,0,0,0,0,1,0,0,0,0,Female,0.0,0.0
85,1310,28,94,30,4.0,D,3.0,0,0,0,0,0,0,0,0,0,0,1,Male,0.0,0.0
86,1311,12,94,6,3.0,R,4.0,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
87,1314,86,56,92,2.0,A,3.71,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,0.0
88,1318,97,82,45,1.0,A,3.64,0,0,1,0,0,1,0,0,0,0,0,Male,0.0,5206.0
89,1319,91,92,92,1.0,A,2.97,0,0,1,0,0,0,0,0,0,0,0,Male,0.0,642.0
90,1320,89,92,49,1.0,R,3.88,0,0,1,0,0,0,0,0,0,0,0,Male,0.0,0.0
91,1321,79,22,48,1.0,A,3.78,0,0,1,0,0,1,0,0,0,0,0,Female,0.0,10626.0
92,1322,64,53,48,1.0,D,3.43,0,0,1,0,0,2,0,0,0,0,0,Female,0.0,0.0
