Subject ID,GRE Verbal Percentile,GRE Quant Percentile,GRE Analytical Percentile,Tier of Undergraduate Institution,Admission Decision,GPA,Master's Held,Doctorate Held,Special Degree Held,Awards: Arts,Awards: Scholastic,Awards: Research,Awards: Service,Awards: Leadership,Awards: Competitions,Gender,First Generation,Work Experience,American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,Not Reported,White
2881,88,63,93,4.0,A,3.87,0,0,0,0,1,0,0,0,0,0,1.0,13.09041095890411,0,0,0,0,0,0,1
2673,82,14,59,4.0,A,3.75,0,0,0,0,2,0,0,0,0,0,1.0,0.0,0,0,0,1,0,0,0
1733,89,56,56,4.0,A,3.58,0,0,0,0,2,0,0,0,0,0,0.0,3.4986301369863013,0,0,0,0,0,0,1
1953,81,44,80,3.0,R,3.89,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,1
1614,73,53,54,3.0,R,3.85,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
1625,95,57,93,4.0,A,3.88,1,0,0,0,0,3,0,0,0,0,0.0,0.41643835616438357,0,0,0,0,0,0,1
3618,39,51,60,3.0,A,3.85,0,0,0,1,0,0,0,0,0,1,0.0,6.424657534246576,0,0,0,1,0,0,0
1425,65,99,11,1.0,R,4.0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
1477,36,23,30,1.0,R,3.37,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,1,0,0,0
2475,42,89,17,1.0,R,3.0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
1579,87,29,35,3.0,R,3.79,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
3255,96,62,93,4.0,R,3.83,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
2369,45,56,15,1.0,A,4.0,0,0,0,0,0,0,0,0,0,0,0.0,2.0027397260273974,0,0,0,0,0,1,0
1384,89,61,29,3.0,A,3.36,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
4115,61,96,41,2.0,R,4.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
2433,50,98,38,4.0,D,1.0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0,0,0,0,0,1,0
2730,82,95,42,4.0,R,4.0,1,0,0,0,2,0,0,1,0,1,0.0,0.0,0,0,0,0,0,1,0
4203,52,90,59,1.0,R,4.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2215,96,71,98,1.0,A,3.93,1,0,0,0,2,1,0,0,0,0,0.0,1.2493150684931507,0,0,0,0,0,1,0
3450,39,35,82,1.0,D,3.63,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
1736,86,77,45,3.0,A,3.98,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,1
3692,24,66,18,1.0,D,3.33,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
1607,92,82,67,4.0,A,3.65,0,0,0,0,0,0,0,0,0,1,0.0,6.498630136986302,0,0,0,0,0,1,0
4270,91,20,60,1.0,R,3.09,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0,1,0,0,0,0,0
1676,66,81,54,4.0,R,3.67,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
2607,38,82,42,1.0,D,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
4047,47,74,41,1.0,D,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
3126,52,76,60,1.0,D,4.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2518,88,47,42,4.0,A,3.42,0,0,0,0,1,0,0,0,0,0,0.0,2.2465753424657535,0,0,0,0,0,0,1
3060,17,10,42,1.0,D,2.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
1476,83,35,49,4.0,A,3.08,0,0,0,0,0,0,0,0,0,0,0.0,4.506849315068493,0,0,0,0,0,0,1
3533,73,38,60,1.0,A,3.84,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
3270,73,89,0,2.0,A,3.5,0,0,0,0,0,0,0,0,0,0,0.0,4.928767123287671,0,0,0,0,0,1,0
2667,42,76,17,1.0,R,4.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2733,42,70,42,1.0,D,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
3861,93,34,82,3.0,A,4.0,0,0,0,0,0,1,0,1,0,0,0.0,3.589041095890411,0,0,0,0,0,0,1
3955,52,96,59,1.0,D,3.0,0,0,0,0,2,0,0,0,1,0,0.0,0.0,0,0,0,0,0,1,0
1298,80,60,49,4.0,R,3.44,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
2368,25,8,56,2.0,R,3.82,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
2496,90,63,93,4.0,A,3.72,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
2622,23,97,17,1.0,D,3.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
3629,64,87,82,1.0,A,4.0,0,0,0,0,1,1,0,0,0,0,0.0,0.6684931506849315,0,0,0,0,0,1,0
3564,52,51,42,3.0,R,3.11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
3691,83,92,42,2.0,R,3.0,0,0,0,1,2,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
2200,50,98,15,1.0,R,4.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2909,88,47,98,3.0,R,3.94,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
2386,41,95,15,1.0,A,4.0,0,0,0,0,1,0,0,0,1,0,0.0,0.16712328767123288,0,0,0,0,0,1,0
3153,56,94,18,3.0,R,3.87,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
3738,56,96,17,1.0,D,3.77,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
2734,88,51,82,4.0,R,3.96,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
3676,65,97,42,2.0,D,3.0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2307,85,90,38,4.0,A,3.9,0,0,0,0,1,0,0,0,0,0,0.0,1.832876712328767,0,1,0,0,0,0,0
1337,89,77,73,4.0,A,3.77,0,0,0,0,1,0,0,0,0,1,0.0,1.16986301369863,0,0,0,0,0,0,1
1251,97,31,49,4.0,R,3.95,0,0,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,0,0,1
2116,63,88,93,4.0,R,3.7,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,1,0,0,0,0,0
1799,33,56,15,1.0,D,4.0,0,0,0,0,0,0,0,0,0,0,0.0,2.336986301369863,0,0,0,0,0,1,0
1510,36,95,6,2.0,A,3.0,0,0,0,0,0,0,0,0,0,0,0.0,1.167123287671233,0,0,0,0,0,1,0
2533,64,51,42,1.0,A,4.0,0,0,0,0,2,0,0,0,0,0,0.0,2.5013698630136987,0,0,0,0,0,1,0
1222,73,27,73,4.0,A,3.65,0,0,0,0,0,0,0,0,0,0,0.0,11.509589041095891,0,0,0,0,0,0,1
4090,56,80,17,1.0,D,3.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
3562,52,97,42,3.0,R,3.6,0,0,0,0,2,0,1,0,0,1,0.0,0.0,0,0,0,0,0,1,0
1440,93,14,92,4.0,A,3.48,0,0,0,0,2,0,0,0,0,0,1.0,1.2493150684931507,0,0,0,1,0,0,0
2499,81,28,80,3.0,A,3.81,0,0,0,0,2,0,0,0,0,0,0.0,6.082191780821918,0,0,0,0,0,0,1
3586,76,27,42,4.0,R,3.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
3106,56,92,42,3.0,R,3.68,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
4067,83,91,59,3.0,R,3.63,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2118,92,71,93,4.0,A,3.79,0,0,0,0,0,0,0,0,0,0,0.0,2.5753424657534247,0,0,0,0,0,0,1
1851,99,72,78,4.0,R,3.62,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0
1339,99,60,96,4.0,R,3.43,1,0,0,1,1,0,0,1,0,1,0.0,0.0,0,0,0,0,0,0,1
3506,61,30,42,3.0,R,3.18,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0
3461,17,76,60,3.0,D,3.62,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
3932,96,96,7,1.0,D,3.0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0,0,0,0,0,1,0
3591,39,62,60,1.0,D,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
1747,84,13,78,1.0,R,3.26,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2382,67,86,15,4.0,R,3.0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0
3686,65,91,18,1.0,A,3.0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2693,72,55,59,1.0,R,3.84,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
1973,50,4,93,1.0,R,2.98,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
3993,96,96,60,1.0,D,3.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
3750,88,91,59,4.0,A,3.49,0,0,0,0,0,0,0,0,0,0,0.0,4.331506849315068,0,1,0,0,0,0,0
2902,85,51,93,4.0,R,3.87,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
2782,75,97,17,2.0,R,4.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
2697,99,90,93,4.0,R,3.91,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0
4166,73,96,59,1.0,D,3.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
4155,94,96,41,3.0,D,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
3833,52,96,41,1.0,A,4.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
3762,76,50,98,4.0,A,3.47,0,0,0,0,0,0,0,0,0,1,0.0,1.5780821917808219,0,0,0,0,0,0,1
2232,25,98,38,3.0,A,3.75,0,0,0,0,1,0,0,0,0,0,0.0,2.419178082191781,0,0,0,0,0,1,0
3753,88,55,98,3.0,A,3.67,1,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
1474,89,60,49,4.0,R,4.0,0,0,0,1,1,0,0,0,0,0,0.0,4.671232876712328,0,0,0,0,0,0,1
1343,49,98,6,1.0,A,4.0,0,0,0,0,0,0,0,0,2,1,0.0,0.5808219178082191,0,0,0,0,0,1,0
3960,80,96,41,2.0,R,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
1631,40,96,35,1.0,A,4.0,0,0,0,0,2,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
4126,83,42,59,2.0,A,3.54,0,0,0,0,0,0,0,0,0,0,0.0,3.747945205479452,0,0,0,1,0,0,0
1942,81,94,93,1.0,R,4.0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
4230,38,90,17,1.0,D,4.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0,0,0,1,0
1325,21,4,11,1.0,D,3.7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
3447,1,51,8,1.0,D,4.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
3745,86,26,92,3.0,R,3.92,0,0,0,0,2,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,1
1644,93,43,92,3.0,R,3.89,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
1700,78,57,35,1.0,A,3.61,0,0,0,0,3,0,0,0,0,0,0.0,3.0,0,0,0,1,0,0,0
3306,83,78,60,1.0,D,3.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
2349,37,95,15,1.0,A,3.0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0,0,0,0,0,1,0
1515,40,95,14,1.0,A,2.67,0,0,0,0,0,0,0,0,2,1,0.0,0.25205479452054796,0,0,0,0,0,1,0
3921,76,42,59,1.0,A,3.94,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
3446,88,62,60,2.0,R,3.4538255338482493,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
3903,97,74,59,4.0,D,2.88,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
4148,52,72,17,4.0,R,3.36,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2924,60,97,17,1.0,R,3.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0,0,0,1,0
2439,50,95,15,1.0,D,3.0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0,0,0,0,0,1,0
2450,93,35,92,2.0,R,3.98,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,1
1388,15,56,49,3.0,D,3.4,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,1
3100,43,66,18,1.0,D,3.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
3333,79,32,15,1.0,A,3.17,1,0,0,0,0,0,0,0,0,1,0.0,10.753424657534246,0,0,0,0,0,0,1
3421,80,38,18,3.0,R,4.0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
