GRE APT Verb Percentile,GRE APT Quant Percentile,GRE APT Analyt Percentile,tiers,admit_code,GPA_Merged,Master's Held,Doctorate Held,Bachelor's Held,Special Degree Held,Count: Arts,Count: GAE,Count: Research,Count: Service,Count: Leadership,Count: Competition,Gender,Ethnicity,First Generation,work_experience_int
93,74,49,1.0,R,3.63,0,0,0,0,0,1,0,0,0,0,Female,White,0.0,0.0
80,43,73,1.0,A,3.41,0,0,1,0,0,0,0,0,0,0,Male,Asian,1.0,2281.0
96,90,96,1.0,R,3.9,0,0,0,0,0,1,0,0,0,0,Female,White,0.0,0.0
40,35,30,4.0,A,3.39,0,0,1,0,0,1,0,0,0,0,Female,Asian,0.0,1581.0
36,83,30,2.0,R,3.72,0,0,0,0,0,0,1,0,0,0,Female,Not Reported,0.0,0.0
28,94,30,4.0,D,3.0,0,0,0,0,0,0,0,0,0,1,Male,Not Reported,0.0,0.0
12,94,6,3.0,R,4.0,0,0,0,0,0,0,0,0,0,0,Female,Not Reported,0.0,0.0
86,56,92,2.0,A,3.71,0,0,1,0,0,0,0,0,0,0,Female,Not Reported,0.0,0.0
97,82,45,1.0,A,3.64,0,0,1,0,0,1,0,0,0,0,Male,Not Reported,0.0,5206.0
91,92,92,1.0,A,2.97,0,0,1,0,0,0,0,0,0,0,Male,Not Reported,0.0,642.0
89,92,49,1.0,R,3.88,0,0,1,0,0,0,0,0,0,0,Male,Not Reported,0.0,0.0
79,22,48,1.0,A,3.78,0,0,1,0,0,1,0,0,0,0,Female,Not Reported,0.0,10626.0
64,53,48,1.0,D,3.43,0,0,1,0,0,2,0,0,0,0,Female,White,0.0,0.0
69,31,30,1.0,R,3.41,0,0,0,0,1,0,0,0,0,0,Female,White,0.0,0.0
21,4,11,4.0,D,3.7,0,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
96,43,30,3.0,R,3.65,0,0,0,0,0,3,0,0,0,0,Female,American Indian or Alaska Native,0.0,0.0
80,90,92,1.0,R,3.05,0,0,0,0,3,0,0,0,0,0,Female,White,0.0,0.0
86,52,99,4.0,A,3.97,0,0,0,0,0,1,0,0,1,0,Female,White,0.0,2134.0
69,86,11,4.0,R,3.0,0,0,0,0,0,0,0,0,0,0,Male,Asian,0.0,0.0
73,35,49,2.0,A,4.0,0,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
83,39,92,4.0,R,3.79,0,0,0,0,0,1,0,0,0,0,Female,White,0.0,0.0
65,98,30,4.0,R,4.0,0,0,0,0,0,0,0,0,0,0,Female,Not Reported,0.0,0.0
89,48,49,1.0,R,3.76,0,0,0,0,0,0,2,0,0,0,Female,White,0.0,0.0
53,97,11,1.0,R,3.6,0,0,0,0,0,1,1,0,0,0,Female,Not Reported,0.0,0.0
89,77,73,1.0,A,3.77,0,0,1,0,0,1,0,0,0,0,Male,White,0.0,427.0
89,43,73,2.0,A,3.77,0,0,0,0,0,1,0,0,0,0,Female,White,0.0,0.0
99,60,96,1.0,R,3.43,1,0,0,0,1,1,0,0,1,0,Male,White,0.0,0.0
44,92,30,4.0,R,3.0,0,0,0,0,0,0,0,0,0,0,Male,Not Reported,0.0,0.0
80,48,49,4.0,A,3.65,0,0,1,0,0,1,0,0,0,0,Female,White,0.0,0.0
77,81,11,4.0,A,3.0,0,0,0,0,0,0,0,0,0,0,Male,Not Reported,0.0,0.0
49,98,6,4.0,A,4.0,0,0,1,0,0,0,0,0,0,2,Male,Not Reported,0.0,212.0
78,52,84,1.0,R,3.46,0,0,1,0,0,0,0,0,0,0,Female,Not Reported,0.0,0.0
71,7,20,2.0,A,3.55,1,0,0,0,0,0,0,0,0,0,Female,Not Reported,0.0,0.0
94,23,45,2.0,A,2.95,0,0,1,0,0,0,0,0,0,0,Male,Hispanic,0.0,0.0
98,71,73,1.0,R,3.8,0,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
73,20,49,2.0,A,3.39,0,0,1,0,0,0,0,1,0,0,Female,White,1.0,1521.0
99,60,49,1.0,A,3.76,0,0,1,0,0,1,0,1,0,0,Female,White,1.0,1003.0
98,74,73,2.0,R,3.79,0,0,0,0,0,1,0,0,0,0,Male,White,0.0,0.0
65,56,49,4.0,A,3.75,0,0,1,0,2,0,0,0,1,0,Male,White,0.0,1556.0
12,88,11,4.0,A,4.0,0,1,0,0,0,0,0,0,0,0,Male,Not Reported,0.0,3502.0
53,23,92,2.0,D,3.53,0,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
95,39,49,4.0,A,3.6,1,0,0,0,0,1,0,0,0,0,Male,White,0.0,426.0
86,77,73,2.0,A,3.34,0,0,1,0,0,0,0,0,0,0,Female,Hispanic,0.0,0.0
86,43,73,3.0,R,3.59,1,0,0,0,0,2,0,0,1,0,Female,Hispanic,0.0,0.0
